,RBI_rate,HR_rate,BA
0,0.05028333437551254,0.0015477378661133707,0.1963547397355313
1,0.17305480486457026,0.04898700777229156,0.26890453504812484
2,0.10105403095218299,0.00035237414793479367,0.18791671650504702
3,0.08576241842812209,0.0013480974331532228,0.26765600895127856
4,0.18772086427839102,0.03842492202303071,0.4024047631982918
5,0.14840963595745663,0.020574090867263414,0.30903714961878315
6,0.0008552688643595624,-0.008027982260065805,0.08504943981987959
7,0.12742354500562375,0.003685990684173312,0.33739018596436604
8,0.16272964353734748,0.05369350772222864,0.2639971401876612
9,0.14119131923809214,-0.028824936284382367,0.07773295463474966
10,0.33201200725003693,0.06313391060432472,0.21720001130319436
11,0.1454683664651622,0.03059312150622197,0.33598480867270464
12,0.17440427575749323,0.05950968475690427,0.3018752471280392
13,0.014188067019064249,0.0027010340490949327,-0.005361014553647292
14,0.10679745144565178,0.00961104795540294,0.2526435966687093
15,0.09229610582910476,0.004169801179415924,0.2864277708640459
16,0.07738463538544804,0.0030738317630109816,0.3216047802709936
17,0.07628712099082187,0.0013447275087800636,0.15480272118555435
18,-0.015760616205769268,-0.010086032681198166,0.02348668419086397
19,0.0932729510944732,-0.0010896248502480256,0.4098281589687945
20,0.06687523702339433,0.0002440709141363507,0.20274611795960193
21,0.21401684367021662,0.102838043608146,0.2674377677766747
22,0.10616442126458152,0.007479249192504734,0.30117765226198995
23,0.0752470622009124,0.001373780722992525,0.2736869694613642
24,0.09674592012520784,-0.0010109360837627004,0.33769297534480536
25,0.11266009763154193,0.03595261940389285,0.2209020801391303
26,0.07626253629514711,-0.00012236843194697589,0.3389969838595913
27,0.09194403892012734,0.01087247421778947,0.26701772882518626
28,0.0856872728333283,7.365493761951267e-05,0.17001987600275642
29,0.0942088334489542,0.00017057340995587159,0.4063032547473562
30,0.11344187992877067,0.03623343634535257,0.22188396153119475
31,0.05460555641487138,0.00041453059440542395,0.18794331103089432
32,0.03784442481063292,0.001363309336711433,0.13270293977039538
33,0.12219202442572391,0.051828230769264565,0.1737477730478372
34,0.08642414832977292,0.015200126081405009,0.23166356196464724
35,0.09423401699038253,0.014241770102333273,0.2954062207215099
36,0.00952157378401175,0.002564863530515984,-0.0053528431479814564
37,0.12346791772743192,0.037739166664770285,0.22370488917288103
38,0.14629481996558508,0.031461418652814016,0.35448164156983447
39,0.08034686730250845,0.0008511652838902178,0.33721958430330523
40,0.006689659764316333,0.0027140778127299394,-0.005900214586475994
41,0.009446391310777236,0.0026559880130388232,-0.005574012868513445
42,0.11001500829691452,0.017915402214653806,0.22221178836167282
43,0.05838303434441024,-0.0014905059123595868,0.13006249363292982
44,0.16270611912691454,0.04962956232006817,0.2876846428463661
45,0.014986527971253702,0.002657588144384262,-0.005203517532004376
46,0.048568720734573564,0.0005100029497784597,0.2025875402547989
47,0.099167358373534,0.0023250376201037464,0.21337507890180812
48,0.1600843608031223,0.05156637238910473,0.3151037675365269
49,0.11038956973195589,0.027140732420998886,0.26022581610483697
50,0.06770625239848109,-0.0002354271800665761,0.2372102310739273
51,0.3259989350935183,0.07292358785877623,0.3837644808405297
52,0.04903167971587508,-0.0002624938136425326,0.2568584250324538
53,0.03381962560158995,0.0013061285267531673,0.1509655917295115
54,0.09832245797797026,0.006227597708744444,0.3204544055249332
55,0.0079946662810223,0.0024539335425046074,-0.00519207740077085
56,0.02275508885112089,-0.004581856484540799,0.06788502553554174
57,0.04719730510258823,0.0013674244632206293,0.1671436507202869
58,0.14722185554343298,0.03520571137709341,0.30269928444130545
59,0.10522364183343319,0.019662523706772066,0.18969106457353732
60,0.14728144102178584,0.04648225831387363,0.27766716549442666
61,0.07314367290092108,0.006757516976255597,0.23662308762482284
62,0.17611734072000815,0.0552686731095867,0.3263506722263432
63,0.11633144892998197,0.015552986941675956,0.32136519215069903
64,0.0975380304426838,-0.003492680377188532,0.20250895021068577
65,0.009034298528809284,0.0026767294535757543,-0.0056514275389019375
66,0.06733191649743529,0.0024564207487836644,0.26867107285070396
67,0.151932431447734,0.041994806307411855,0.3197524946418597
68,0.13357593876063953,0.04074255182133549,0.2749257878632461
69,0.11216340328135199,0.013299571018422458,0.2847883410418167
70,0.10965133168262022,0.028312300836054648,0.2272880982064775
71,0.05180788144811681,0.0007929043206675243,0.18767897520038904
72,0.16987704323412203,0.040976947445617244,0.2694002026166061
73,0.11299123331813232,0.0027603813683363017,0.3218405463553291
74,0.18745416520976727,0.039031928581618705,0.3666345546281786
75,0.07045361802584954,0.001008228340063172,0.19130661671423524
76,0.09557600536315496,0.002537198040344345,0.2703604897511196
77,0.09406013232355159,0.0237869927832157,0.11944840200588348
78,0.12457105912288288,0.04673262446372128,0.2089419484037188
79,0.2126445223148351,0.06284122954560165,0.3632187162443826
80,0.035440840589822255,7.222706165973744e-05,0.13332011648124198
