,Age,PA,R_rate,2B_rate,3B_rate,HR_rate,RBI_rate,SB_rate,CS_rate,BB_rate,SO_rate,BA,OBP,SLG,GDP_rate,HBP_rate,SH_rate,SF_rate,IBB_rate,Season
0,27,16,0.25,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.1875,0.2,0.25,0.2,0.0625,0.0,0.0,0.0,0.0,2020
1,32,114,0.12280701754385964,0.06140350877192982,0.0,0.05263157894736842,0.18421052631578946,0.0,0.0,0.06140350877192982,0.12280701754385964,0.262,0.316,0.505,0.02631578947368421,0.017543859649122806,0.0,0.017543859649122806,0.008771929824561403,2020
2,37,34,0.0,0.08823529411764706,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.3235294117647059,0.188,0.182,0.281,0.058823529411764705,0.0,0.029411764705882353,0.029411764705882353,0.0,2020
3,29,110,0.14545454545454545,0.03636363636363636,0.00909090909090909,0.0,0.09090909090909091,0.01818181818181818,0.00909090909090909,0.06363636363636363,0.11818181818181818,0.27,0.318,0.33,0.00909090909090909,0.0,0.02727272727272727,0.0,0.0,2020
4,32,139,0.17266187050359713,0.06474820143884892,0.0,0.03597122302158273,0.2014388489208633,0.0,0.0,0.07913669064748201,0.08633093525179857,0.41100000000000003,0.45299999999999996,0.605,0.03597122302158273,0.007194244604316547,0.0,0.02158273381294964,0.0,2020
5,29,98,0.12244897959183673,0.04081632653061224,0.01020408163265306,0.02040816326530612,0.14285714285714285,0.030612244897959183,0.01020408163265306,0.061224489795918366,0.061224489795918366,0.311,0.34700000000000003,0.444,0.030612244897959183,0.0,0.0,0.02040816326530612,0.0,2020
6,25,20,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05,0.071,0.35,0.071,0.1,0.0,0.0,0.0,0.0,2020
7,35,109,0.13761467889908258,0.03669724770642202,0.009174311926605505,0.0,0.11009174311926606,0.009174311926605505,0.009174311926605505,0.06422018348623854,0.09174311926605505,0.34700000000000003,0.389,0.408,0.03669724770642202,0.009174311926605505,0.009174311926605505,0.01834862385321101,0.0,2020
8,31,128,0.1640625,0.0390625,0.0,0.0546875,0.2109375,0.0,0.0,0.1171875,0.3203125,0.261,0.344,0.495,0.0234375,0.0,0.0,0.015625,0.0,2020
9,21,5,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.25,0.0,0.0,0.0,0.2,0.2,0.0,2020
10,21,7,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.25,0.5710000000000001,0.75,0.0,0.0,0.0,0.0,0.0,2020
11,33,102,0.1568627450980392,0.08823529411764706,0.0,0.029411764705882353,0.16666666666666666,0.0,0.0,0.10784313725490197,0.21568627450980393,0.341,0.41200000000000003,0.5379999999999999,0.0196078431372549,0.0,0.0,0.0,0.0,2020
12,35,64,0.15625,0.015625,0.0,0.0625,0.21875,0.015625,0.03125,0.09375,0.28125,0.298,0.359,0.526,0.015625,0.0,0.0,0.015625,0.0,2020
13,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
14,29,127,0.1732283464566929,0.07874015748031496,0.0,0.007874015748031496,0.08661417322834646,0.015748031496062992,0.0,0.07086614173228346,0.11811023622047244,0.257,0.331,0.3720000000000001,0.015748031496062992,0.031496062992125984,0.0,0.007874015748031496,0.007874015748031496,2020
15,30,92,0.14130434782608695,0.03260869565217391,0.0,0.0,0.09782608695652174,0.0,0.021739130434782608,0.09782608695652174,0.09782608695652174,0.3,0.38,0.33799999999999997,0.03260869565217391,0.021739130434782608,0.0,0.010869565217391304,0.0,2020
16,23,10,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.33299999999999996,0.4,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,2020
17,26,37,0.05405405405405406,0.0,0.02702702702702703,0.0,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.13513513513513514,0.16216216216216217,0.156,0.27,0.21899999999999997,0.0,0.0,0.0,0.0,0.0,2020
18,26,4,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2020
19,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2020
20,30,81,0.07407407407407407,0.06172839506172839,0.0,0.0,0.04938271604938271,0.0,0.0,0.06172839506172839,0.16049382716049382,0.203,0.263,0.27,0.024691358024691357,0.012345679012345678,0.012345679012345678,0.0,0.0,2020
21,34,18,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.25,0.33299999999999996,0.625,0.05555555555555555,0.0,0.0,0.0,0.0,2020
22,32,4,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.33299999999999996,0.5,0.33299999999999996,0.0,0.25,0.0,0.0,0.0,2020
23,31,114,0.11403508771929824,0.008771929824561403,0.0,0.0,0.03508771929824561,0.043859649122807015,0.017543859649122806,0.07017543859649122,0.15789473684210525,0.27899999999999997,0.327,0.28800000000000003,0.02631578947368421,0.0,0.008771929824561403,0.008771929824561403,0.0,2020
24,26,43,0.046511627906976744,0.06976744186046512,0.0,0.0,0.16279069767441862,0.046511627906976744,0.0,0.023255813953488372,0.18604651162790697,0.33299999999999996,0.349,0.405,0.023255813953488372,0.0,0.0,0.0,0.0,2020
